District #,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23
101919,9725329,45216770,101583250,0,0
140907,56323,204060,458439,0,0
184902,394901,1679664,3773506,0,0
63903,58921,235476,529017,0,0
229905,66075,318830,716278,0,0
57836,109621,445000,999729,0,0
13801,168949,608202,1366376,0,0
79910,443828,1920343,4314210,0,0
127906,180926,661754,1486686,0,0
156902,118944,572707,1286633,0,0
101859,198256,957111,2150229,0,0
72903,529619,2404319,5401504,0,0
216901,41408,179511,403288,0,0
247906,196115,823623,1850338,0,0
211902,74746,281994,633524,0,0
182905,32774,143856,323184,0,0
140908,95616,387425,870382,0,0
112910,30544,138991,312254,0,0
112901,918927,3555269,7987209,0,0
110907,51415,289102,649491,0,0
57919,75868,152025,341538,507222,507221
171902,54979,225545,506707,0,0
20906,365615,1695342,3808727,0,0
177902,573235,2284474,5132263,0,0
205907,320525,1285350,2887645,0,0
153904,136888,636089,1429027,0,0
146907,378716,1796872,4036824,0,0
201910,211244,994290,2233755,0,0
246911,493249,2068896,4647948,0,0
81904,229911,1078786,2423584,0,0
123803,151,58828,132163,0,0
14909,2941009,11423412,25663648,0,0
210904,155479,634241,1424876,0,0
22004,84368,312929,703021,0,0
222901,32266,116694,262162,0,0
129906,1031616,4225774,9493554,0,0
57804,1355935,5657419,12709863,0,0
19907,2149686,9188881,20643587,0,0
84906,2445335,9982966,22427567,0,0
221801,1813627,7358955,16532508,0,0
227805,89212,409812,920676,0,0
226801,484531,2337565,5251536,0,0
105802,64644,232716,522816,0,0
227905,16040,4685,10524,121978,121977
227906,68506,287865,646713,205476,205475
170801,208156,952149,2139081,0,0
56902,29492,153365,344548,0,0
15841,82772,635528,1427766,0,0
101864,103132,424875,954516,0,0
101868,188416,933828,2097922,0,0
101861,241362,1075452,2416092,0,0
101814,619392,2849165,6400887,0,0
166905,67681,295574,664031,0,0
246912,41467,205761,462260,28228,28228
149902,96442,457075,1026858,0,0
72901,24723,135539,304500,0,0
224901,36068,151581,340539,0,0
158902,191807,874786,1965280,0,0
210905,229012,997237,2240376,0,0
91907,30092,173808,390474,28544,28545
111903,95362,365164,820372,0,0
91918,72275,319729,718297,0,0
101921,858008,3474883,7806614,1528838,1528839
71908,442631,1802125,4048624,0,0
221905,25047,145500,326877,0,0
74912,73375,285520,641444,0,0
107907,45248,223815,502818,0,0
57813,1010344,4705781,10571930,0,0
46802,312413,1278623,2872534,0,0
228903,346617,1474731,3313107,0,0
71803,69843,284033,638103,0,0
240801,154637,587606,1320105,0,0
152803,85848,309046,694298,0,0
108804,139423,701058,1574986,0,0
212904,193122,813753,1828163,0,0
14910,153159,628845,1412753,0,0
219903,304271,1299166,2918685,0,0
178912,596522,2521838,5665520,0,0
96905,81935,313861,705115,0,0
101840,120605,501987,1127755,0,0
212905,4446624,19978515,44883403,0,0
57845,57700,443686,996779,0,0
230908,108136,403473,906436,0,0
230904,67806,303393,681597,0,0
240903,14113956,56787934,127578835,0,0
57808,193102,702144,1577426,0,0
101807,25282,0,0,0,0
227819,53491,225008,505498,0,0
227806,469209,1823921,40975,0,0
57803,5248754,23781674,53427516,0,0
212804,42219,267677,601358,0,0
232904,50957,206286,463438,0,0
68803,40132,61307,137732,341496,341495
232903,1888586,7199589,16174478,0,0
122902,2084,32595,73227,0,0
18904,84899,423909,952347,0,0
49903,75783,400823,900483,0,0
108916,1678787,6998980,15723793,0,0
227829,69526,286084,642712,133742,133741
91908,101161,441638,992177,68030,68031
234906,414129,1682474,3779819,0,0
158906,149189,599758,1347407,0,0
108808,1209826,5847181,13136181,0,0
180902,24621,100645,226108,0,0
126908,271685,1176862,2643919,0,0
226908,42326,233137,523762,0,0
244903,368057,1495398,3359536,0,0
235902,2910099,12645599,28409395,0,0
181907,757886,3287763,7386234,0,0
57847,71121,407319,915076,129710,129710
71809,58556,268385,602950,0,0
161801,88344,364209,818225,0,0
161914,5141998,22232714,49947648,0,0
89905,72596,305999,687452,0,0
59902,21004,92041,206778,0,0
226906,66764,328426,737837,0,0
237904,983086,4399198,9883165,0,0
49908,11493,57789,129828,0,0
18905,84935,379940,853567,0,0
229904,172138,918097,2062581,0,0
102903,129823,803438,1804990,0,0
226905,40470,304388,683834,0,0
70801,1024672,4326764,9720436,0,0
70912,876062,3940378,8852388,0,0
227803,390275,1828589,4108077,0,0
184903,955393,3957442,8890725,0,0
240904,157242,685481,1539990,0,0
45905,93078,406704,913695,0,0
44902,155050,591054,1327852,0,0
223904,89823,374059,840355,0,0
37909,95083,417744,938497,0,0
108913,6881089,28143334,63226351,0,0
100908,31600,156616,351852,97484,97484
161916,171470,742037,1667048,0,0
181906,921655,3871028,8696588,0,0
178915,589799,2434582,5469492,0,0
201914,211679,909790,2043920,0,0
202905,116560,583386,1310624,0,0
168903,27424,179511,403288,0,0
62905,26986,116931,262695,0,0
73904,13878,40634,91288,0,0
1908,312661,1125552,2528647,0,0
241904,475092,1907579,4285535,0,0
242903,67839,293108,658491,0,0
33904,29602,121816,273670,0,0
92908,237478,1007291,2262964,0,0
220920,885845,3613529,8118095,0,0
40902,82217,346530,778508,0,0
212906,671301,2773594,6231109,0,0
91909,261903,1067780,2398857,0,0
91910,117190,457994,1028922,0,0
110908,37730,196198,440776,0,0
109911,262261,1124723,2526785,0,0
243905,3213381,13902587,31233324,0,0
180904,14159,71565,160778,0,0
170904,1085128,4432170,9957240,0,0
234907,454184,2067460,4644720,0,0
153907,54739,250171,562031,0,0
105905,187578,758249,1703470,0,0
5904,23567,129535,291011,0,0
57828,149809,618634,1389812,178624,178624
248902,50114,209517,470697,0,0
250907,253375,1107221,2487465,0,0
212910,239695,1781369,4001993,0,0
200904,158525,628297,1411521,0,0
174906,185676,811270,1822586,0,0
116909,91709,402885,905115,0,0
196902,70534,353423,793994,0,0
224902,27538,135646,304740,0,0
229903,373956,1573599,3535222,0,0
81905,68470,318258,714994,0,0
43914,675004,3008909,6759766,1617759,1617759
221912,218589,924780,2077594,241584,241583
250905,76512,442734,994639,0,0
101873,113923,536770,1205899,0,0
101845,4518345,22118416,49690868,0,0
62903,385151,1644169,3693762,0,0
62904,106499,506808,1138587,0,0
71905,14302544,62172314,139675292,0,0
253901,1538030,7432980,16698810,0,0
3906,100200,524551,1178447,0,0
25906,59399,244291,548819,0,0
138904,0,155490,349322,0,0
174911,0,351699,790121,0,0
101877,0,80400,180625,0,0
131001,0,45118,101362,0,0
111801,0,95753,215118,0,0
22902,0,7007,15741,7442,7441
15842,0,258628,581030,0,0
117907,0,54568,122591,0,0
143905,0,49305,110768,0,0
220814,0,31710,71238,66078,66079
211901,0,58531,131494,0,0
143904,0,45028,101160,0,0
15834,0,0,0,987999,1010560
177903,0,0,0,74771,68495
57851,0,0,0,20002,20002
101837,0,0,0,101264,95430
227814,0,0,0,100485,95416
178807,0,0,0,85964,76244
133905,0,0,0,6667,7709
86024,0,0,0,19304,17260
92801,0,0,0,66761,61421
15836,0,0,0,160795,163838
242906,0,0,0,51332,50190
15914,0,0,0,639675,598534
90905,0,0,0,24682,22317
135001,0,0,0,37510,38075
244901,0,0,0,64390,57900
57911,0,0,0,1761134,1696136
43801,0,0,0,418353,402134
208903,0,0,0,92018,88128
61804,0,0,0,498963,482063
43802,0,0,0,82504,77147
162904,0,0,0,102361,97620
183801,0,0,0,147029,136204
15843,0,0,0,6250,6250
57840,0,0,0,87994,76465
236802,0,0,0,162247,181305
22903,0,0,0,2236,1977
178808,0,0,0,193252,180795
174801,0,0,0,67154,65180
227827,0,0,0,828651,828794
220801,0,0,0,144973,131167
61805,0,0,0,266416,246483
220810,0,0,0,245211,237534
