feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% Hispanic Pop 10,0.05259044278359645,5,0.007358471757556609,1.0,4.4408920985006264e-17,0.011822660098522153,0.0,0.013103961554263945,-2.985102966872977e-16,0.020618556701030927,0.018867924528301886,0.0
% Prek 2018-2019,0.052074493973225805,6,0.008314747726956642,1.0,-0.00197044334975367,0.002955665024630538,0.0,0.014806897157083389,0.01324503311258279,0.005154639175257732,0.018867924528301886,0.0
% ADA 2020-2021,0.04791470197271962,6,0.011205665059501576,1.0,0.0019704433497537365,0.012807881773399,0.0,0.019955040797550797,-0.013245033112583236,0.022336769759450172,0.018867924528301886,0.0
% White Students 2020-2021,0.04781063269814621,5,0.017076930055100963,1.0,0.0009852216748768906,0.002955665024630538,0.0,0.03041058555087836,-0.006622516556291768,0.005154639175257732,0.018867924528301886,0.0
# of Housing Units 10,0.04389793666040784,6,0.0064772280439871,1.0,-0.0009852216748768461,0.0039408866995073845,0.0,0.011534643342137506,0.00662251655629147,0.006872852233676976,0.018867924528301886,0.0
% Hispanic Students 2021-2022,0.041946485933370525,5,0.012678514477652381,1.0,0.0019704433497537365,0.007881773399014769,0.0,0.022577890050297925,-0.013245033112583236,0.013745704467353952,0.018867924528301886,0.0
CRRSA ESSER II 21 NORM,0.04133755615480905,5,0.006688017800451403,1.0,0.0009852216748768906,0.009852216748768461,0.0,0.011910017598606498,-0.006622516556291768,0.017182130584192438,0.018867924528301886,0.0
% Students Tested Math - Grade 8 2018-2019,0.03889875280902498,6,0.007791358736978319,1.0,0.003940886699507473,0.018719211822660075,0.0,0.013874846395923936,-0.026490066225166472,0.03264604810996563,0.018867924528301886,0.0
% Black or African American Students 2021-2022,0.03508505114939424,6,0.00910665585638875,1.0,6.661338147750939e-17,0.0,0.0,0.016217126621092797,-4.477654450309464e-16,0.0,0.018867924528301886,0.0
# of Families 10,0.03394641424037841,5,0.005572694455718509,1.0,2.2204460492503132e-17,0.002955665024630538,0.0,0.009923850536818943,-1.4925514834364884e-16,0.005154639175257732,0.018867924528301886,0.0
% Students Tested Math - Grade 5 2018-2019,0.03194410668941883,6,0.008991432487429236,1.0,0.0019704433497537365,0.005911330049261076,0.0,0.01601193692318471,-0.013245033112583236,0.010309278350515464,0.018867924528301886,0.0
% Prek 2021-2022,0.02536075189966199,4,0.008329718436223082,1.0,0.0009852216748768906,-0.0009852216748768461,0.0,0.014833556986071118,-0.006622516556291768,-0.001718213058419244,0.018867924528301886,0.0
% HH Married-Child 10,0.022672715469701035,5,0.00625796386883302,1.0,0.004926108374384297,0.014778325123152691,0.0,0.011144177846568286,-0.033112582781457796,0.02577319587628866,0.018867924528301886,0.0
% School-wide Title I 2020-2021,0.021855839603697053,4,0.001519070814183909,0.0,0.0009852216748768682,0.014778325123152691,0.0,0.002705160283700014,-0.006622516556291618,0.02577319587628866,0.0,0.0
# of Households 10,0.021405691554829267,7,0.009125706716282454,0.0,6.661338147750939e-17,0.002955665024630538,0.0,0.016251052379571983,-4.477654450309464e-16,0.005154639175257732,0.0,0.0
Total Students 2020-2021,0.02123552108850832,6,0.011380618346481467,1.0,0.003940886699507473,0.0049261083743842304,0.0,0.020266597493276688,-0.026490066225166472,0.008591065292096219,0.018867924528301886,0.0
Low Average Annual Pay (Less than $45000),0.01635910324915959,4,0.0006432624851920348,0.0,-0.0009852216748768461,0.0049261083743842304,0.0,0.001145521400771899,0.00662251655629147,0.008591065292096219,0.0,0.0
% of Population Under 18 in Poverty,0.01319250977362688,5,0.005618096106065231,1.0,0.005911330049261187,0.013793103448275845,0.0,0.010004701765205138,-0.03973509933774956,0.024054982817869414,0.018867924528301886,0.0
41-Rural: Fringe,0.011450480896087276,4,0.0005002623567038669,0.0,0.0009852216748768682,0.009852216748768461,0.0,0.0008908668681864567,-0.006622516556291618,0.017182130584192438,0.0,0.0
% Housing Owner Occup 10,0.010706457019028625,5,0.005730049388532802,1.0,0.008866995073891725,0.023645320197044305,0.0,0.010204068095288852,-0.059602649006623966,0.041237113402061855,0.018867924528301886,0.0
42-Rural: Distant,0.0070045163856595274,4,0.0010387903803991145,0.0,0.0,0.002955665024630538,0.0,0.0018498772104017954,-0.0,0.005154639175257732,0.0,0.0
% Students Tested Math - Grade 3 2018-2019,0.0014148560733931587,6,0.008371806450959744,1.0,0.007881773399014858,0.011822660098522153,0.0,0.0149085072943927,-0.052980132450332354,0.020618556701030927,0.018867924528301886,0.0
% Students Tested Math - Grade 3 2020-2021,-0.009794534583782894,7,0.012409477355977564,1.0,0.00985221674876855,0.008866995073891614,0.0,0.02209878892505731,-0.06622516556291529,0.015463917525773195,0.018867924528301886,0.0
% Age 20-24 Pop 10,-0.01930705530149251,5,0.004454348261589546,1.0,0.007881773399014858,0.0039408866995073845,0.0,0.007932300386860977,-0.052980132450332354,0.006872852233676976,0.018867924528301886,0.0
% Students Tested Math - Grade 7 2021-2022,-0.019947664130287753,5,0.006024327116316826,1.0,0.007881773399014835,0.0019704433497536923,0.0,0.01072811767490407,-0.0529801324503322,0.003436426116838488,0.018867924528301886,0.0
