feature,Feature Importance,counts,RF Feature Importance,RFE RF Score,RF Permutation Importance,Ridge Permutation Importance,RFE Ridge Score,RF Feature Importance Normalized,RF Permutation Importance Normalized,Ridge Permutation Importance Normalized,RFE RF Score Normalized,RFE Ridge Score Normalized
% Students Tested Reading - Grade 3 2018-2019,0.030140176140665064,4,0.0101723890887559,1.0,-0.0019704433497536923,0.005911330049261076,0.0,0.015543902848739587,-0.0238095238095238,0.01666666666666667,0.021739130434782608,0.0
32-Town: Distant,0.025324095906632173,4,0.0009911807108347087,0.0,0.0019704433497536923,0.0,0.0,0.0015145720971083733,0.0238095238095238,0.0,0.0,0.0
ARP ESSER III 21 NORM,0.02027743241919962,6,0.009690886280633538,1.0,-0.002955665024630538,0.006896551724137922,0.0,0.014808143254258261,-0.0357142857142857,0.019444444444444448,0.021739130434782608,0.0
33-Town: Remote,0.018112246307409544,4,0.0004266414912225539,0.0,0.0009852216748768461,0.0019704433497536923,0.0,0.0006519288470920872,0.0119047619047619,0.005555555555555557,0.0,0.0
12-City: Mid-size,0.01701290395558607,4,0.0002265879074385586,0.0,0.0,0.005911330049261076,0.0,0.0003462372889194024,0.0,0.01666666666666667,0.0,0.0
% Age 20-24 Pop 10,0.0025402283864179587,4,0.00659659140423733,0.0,-0.005911330049261076,0.02266009852216746,0.0,0.01007991092610046,-0.0714285714285714,0.0638888888888889,0.0,0.0
Total Staff 2020-2021,-0.0031537061970433947,5,0.011756372541166547,1.0,-0.0049261083743842304,0.005911330049261076,0.0,0.017964306225316824,-0.0595238095238095,0.01666666666666667,0.021739130434782608,0.0
% County Deaths 01/29/21,-0.005605010167812362,4,0.009632778308733053,1.0,-0.0039408866995073845,0.0019704433497536923,0.0,0.014719351460897073,-0.0476190476190476,0.005555555555555557,0.021739130434782608,0.0
% Grades 9-12 2020-2021,-0.010256165392956665,5,0.012561892928611517,1.0,-0.0049261083743842304,0.002955665024630538,0.0,0.01919518036273689,-0.0595238095238095,0.008333333333333335,0.021739130434782608,0.0
% K 2020-2021,-0.015148711345919108,4,0.013515174512070197,1.0,-0.005911330049261076,0.0049261083743842304,0.0,0.020651840758980793,-0.0714285714285714,0.013888888888888892,0.021739130434782608,0.0
Total Students 2018-2019,-0.024281361092734266,5,0.015329326578170608,1.0,-0.006896551724137922,0.0049261083743842304,0.0,0.023423952916927532,-0.0833333333333333,0.013888888888888892,0.021739130434782608,0.0
CARES ESSER I 20 NORM,-0.033966426827283375,5,0.012107464639913768,1.0,-0.005911330049261076,-0.0009852216748768461,0.0,0.018500791944283196,-0.0714285714285714,-0.0027777777777777783,0.021739130434782608,0.0
# of Families 10,-0.03683201496133107,5,0.009396601082753413,0.0,-0.0049261083743842304,0.002955665024630538,0.0,0.014358461229145102,-0.0595238095238095,0.008333333333333335,0.0,0.0
% Grades 1-8 2020-2021,-0.04259114487973205,4,0.010618302577679466,1.0,-0.006896551724137922,0.0009852216748768461,0.0,0.01622528024104086,-0.0833333333333333,0.0027777777777777783,0.021739130434782608,0.0
% Students Tested Reading - Grade 8 2018-2019,-0.04367448227962127,4,0.010428723107122147,1.0,-0.007881773399014769,0.0049261083743842304,0.0,0.015935593634802438,-0.0952380952380952,0.013888888888888892,0.021739130434782608,0.0
% County Deaths 10/30/20,-0.06215182624951124,4,0.009763150922991447,1.0,-0.008866995073891614,0.002955665024630538,0.0,0.014918567125229916,-0.1071428571428571,0.008333333333333335,0.021739130434782608,0.0
% County Infected 09/28/20,-0.11617744658746447,5,0.009206220157851733,1.0,-0.012807881773399,0.0009852216748768461,0.0,0.014067549961879878,-0.1547619047619047,0.0027777777777777783,0.021739130434782608,0.0
% Students Tested Reading - Grade 7 2020-2021,-0.12356938069711661,4,0.011899853686897882,1.0,-0.016748768472906385,0.013793103448275845,0.0,0.018183552360164237,-0.20238095238095233,0.038888888888888896,0.021739130434782608,0.0
