feature,method,model,score,score_type,selected,Method
% Students Tested Reading - Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% White Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Asian Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Hispanic Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Male Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Female Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 0-4 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 5-9 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 10-14 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 15-19 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 20-24 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 25-34 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 35-44 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 45-54 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 55-64 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 65-74 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 75-84 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 85-Up Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH 1 Male 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH 1 Female 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Married-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Married-noChild 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Male-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Female-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Vacant 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Owner Occup 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Renter Occup 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Schools Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Operational Schools Diff,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_11-City: Large,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_12-City: Mid-size,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_13-City: Small,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_21-Suburb: Large,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_22-Suburb: Mid-size,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_23-Suburb: Small,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_31-Town: Fringe,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_32-Town: Distant,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_33-Town: Remote,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_41-Rural: Fringe,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Locale_42-Rural: Distant,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Locale_43-Rural: Remote,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Students 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Total Students 2020-2021,Regularization,Lasso,0.001213465628877836,N/A,1,Regularization - Lasso
Labor Force Diff,Regularization,Lasso,-0.12204330620243499,N/A,1,Regularization - Lasso
Employed Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Unemployed Level Diff,Regularization,Lasso,0.05961024586694357,N/A,1,Regularization - Lasso
Unemployed Rate Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Median Age 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Median Age Male 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Median Age Female 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
# of Households 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Avg Household Size 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
# of Families 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Avg Family Size 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
# of Housing Units 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
County Population,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
CARES ESSER I 20,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% School-wide Title I 2020-2021,Regularization,Lasso,-0.058088380358319376,N/A,1,Regularization - Lasso
% School-wide Title I 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Title I Eligible School 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Title I Eligible School 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Teachers:Students 2020-2021,Regularization,Lasso,-0.19469742842480586,N/A,1,Regularization - Lasso
Teachers:Students 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Staff:Students 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Staff:Students 2018-2019,Regularization,Lasso,0.0036146981385199923,N/A,1,Regularization - Lasso
% Free Lunch 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Free Lunch 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Reduced-price Lunch 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Reduced-price Lunch 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Asian or Asian/Pacific Islander Students 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Asian or Asian/Pacific Islander Students 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Hispanic Students 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Hispanic Students 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Black or African American Students 2020-2021,Regularization,Lasso,-0.07037520374504072,N/A,1,Regularization - Lasso
% Black or African American Students 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% White Students 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% White Students 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Grades 1-8 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Grades 1-8 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Grades 9-12 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Grades 9-12 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Prek 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Prek 2018-2019,Regularization,Lasso,-0.05200888574831118,N/A,1,Regularization - Lasso
% K 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% K 2018-2019,Regularization,Lasso,0.05519947165429333,N/A,1,Regularization - Lasso
% ADA 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% ADA 2020-2021,Regularization,Lasso,-0.06964227068996987,N/A,1,Regularization - Lasso
% Students Tested Reading - Grade 3 2018-2019,Regularization,Lasso,-0.012447576872657724,N/A,1,Regularization - Lasso
% Students Tested Reading - Grade 4 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Students Tested Reading - Grade 5 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Students Tested Reading - Grade 6 2018-2019,Regularization,Lasso,-0.059411561606624114,N/A,1,Regularization - Lasso
% Students Tested Reading - Grade 7 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Students Tested Reading - Grade 8 2018-2019,Regularization,Lasso,-0.01394855199905387,N/A,1,Regularization - Lasso
% Students Tested Reading - Grade 3 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Students Tested Reading - Grade 4 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Students Tested Reading - Grade 5 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Students Tested Reading - Grade 6 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Students Tested Reading - Grade 7 2020-2021,Regularization,Lasso,0.14925210733883626,N/A,1,Regularization - Lasso
% Students Tested Reading - Grade 8 2020-2021,Regularization,Lasso,0.004877509664077708,N/A,1,Regularization - Lasso
Average Score Reading All Grade 3 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Reading All Grade 4 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Reading All Grade 5 2018-2019,Regularization,Lasso,0.10992594563461473,N/A,1,Regularization - Lasso
Average Score Reading All Grade 6 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Reading All Grade 7 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Reading All Grade 8 2018-2019,Regularization,Lasso,0.06604753919821703,N/A,1,Regularization - Lasso
% County Infected 09/28/20,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% County Deaths 09/28/20,Regularization,Lasso,-0.026794344921593573,N/A,1,Regularization - Lasso
% County Infected 10/30/20,Regularization,Lasso,-0.06597576212132635,N/A,1,Regularization - Lasso
% County Deaths 10/30/20,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% County Infected 01/29/21,Regularization,Lasso,-0.0030277372198391083,N/A,1,Regularization - Lasso
% County Deaths 01/29/21,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% On Campus 09/28/20,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% On Campus 10/30/20,Regularization,Lasso,0.10067689648059178,N/A,1,Regularization - Lasso
% On Campus 01/29/21,Regularization,Lasso,0.22863884037731844,N/A,1,Regularization - Lasso
% White Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Black Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Asian Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Hispanic Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Male Pop 10,Regularization,Lasso,-0.02087054318784762,N/A,1,Regularization - Lasso
% Female Pop 10,Regularization,Lasso,0.0009708751007097725,N/A,1,Regularization - Lasso
% Age 0-4 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 5-9 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 10-14 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 15-19 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 20-24 Pop 10,Regularization,Lasso,0.0833431005443549,N/A,1,Regularization - Lasso
% Age 25-34 Pop 10,Regularization,Lasso,-0.011870619119274985,N/A,1,Regularization - Lasso
% Age 35-44 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 45-54 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 55-64 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 65-74 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 75-84 Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Age 85-Up Pop 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% HH 1 Male 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% HH 1 Female 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% HH Married-Child 10,Regularization,Lasso,-0.1765313417694472,N/A,1,Regularization - Lasso
% HH Married-noChild 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% HH Male-Child 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% HH Female-Child 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Housing Vacant 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Housing Owner Occup 10,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Housing Renter Occup 10,Regularization,Lasso,0.03363915323997679,N/A,1,Regularization - Lasso
Total Schools Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
% Operational Schools Diff,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Locale_11-City: Large,Regularization,Lasso,-0.01681475843801959,N/A,1,Regularization - Lasso
Locale_12-City: Mid-size,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Locale_13-City: Small,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Locale_21-Suburb: Large,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Locale_22-Suburb: Mid-size,Regularization,Lasso,0.06736778811889992,N/A,1,Regularization - Lasso
Locale_23-Suburb: Small,Regularization,Lasso,0.09835813447227591,N/A,1,Regularization - Lasso
Locale_31-Town: Fringe,Regularization,Lasso,-0.07405307236105689,N/A,1,Regularization - Lasso
Locale_32-Town: Distant,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Locale_33-Town: Remote,Regularization,Lasso,0.002985153109082211,N/A,1,Regularization - Lasso
Locale_41-Rural: Fringe,Regularization,Lasso,0.06305817342358537,N/A,1,Regularization - Lasso
Locale_42-Rural: Distant,Regularization,Lasso,-0.0905750405115068,N/A,1,Regularization - Lasso
Locale_43-Rural: Remote,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Total Students 2018-2019,Feature Importance,Random Forest,0.011148352871363993,importances,1,Feature Importance - Random Forest
Total Students 2020-2021,Feature Importance,Random Forest,0.015666048591263936,importances,1,Feature Importance - Random Forest
Labor Force Diff,Feature Importance,Random Forest,0.009769706150241687,importances,1,Feature Importance - Random Forest
Employed Diff,Feature Importance,Random Forest,0.00875275888567022,importances,1,Feature Importance - Random Forest
Unemployed Level Diff,Feature Importance,Random Forest,0.007448022387838213,importances,0,Feature Importance - Random Forest
Unemployed Rate Diff,Feature Importance,Random Forest,0.007301699268367765,importances,0,Feature Importance - Random Forest
Median Age 10,Feature Importance,Random Forest,0.007413757794961078,importances,0,Feature Importance - Random Forest
Median Age Male 10,Feature Importance,Random Forest,0.007627449774737674,importances,0,Feature Importance - Random Forest
Median Age Female 10,Feature Importance,Random Forest,0.007494778695637626,importances,0,Feature Importance - Random Forest
# of Households 10,Feature Importance,Random Forest,0.0065357898993917965,importances,0,Feature Importance - Random Forest
Avg Household Size 10,Feature Importance,Random Forest,0.008206914576431867,importances,0,Feature Importance - Random Forest
# of Families 10,Feature Importance,Random Forest,0.005182626228078925,importances,0,Feature Importance - Random Forest
Avg Family Size 10,Feature Importance,Random Forest,0.006112710603141895,importances,0,Feature Importance - Random Forest
# of Housing Units 10,Feature Importance,Random Forest,0.0058423303940896565,importances,0,Feature Importance - Random Forest
County Population,Feature Importance,Random Forest,0.0073951489598817555,importances,0,Feature Importance - Random Forest
CARES ESSER I 20,Feature Importance,Random Forest,0.014059072222339673,importances,1,Feature Importance - Random Forest
% School-wide Title I 2020-2021,Feature Importance,Random Forest,0.0031950890242259194,importances,0,Feature Importance - Random Forest
% School-wide Title I 2018-2019,Feature Importance,Random Forest,0.005313129445222019,importances,0,Feature Importance - Random Forest
% Title I Eligible School 2020-2021,Feature Importance,Random Forest,0.002899799212841408,importances,0,Feature Importance - Random Forest
% Title I Eligible School 2018-2019,Feature Importance,Random Forest,0.0038771841341611168,importances,0,Feature Importance - Random Forest
Teachers:Students 2020-2021,Feature Importance,Random Forest,0.009360286926188798,importances,1,Feature Importance - Random Forest
Teachers:Students 2018-2019,Feature Importance,Random Forest,0.008714854970368698,importances,1,Feature Importance - Random Forest
Staff:Students 2020-2021,Feature Importance,Random Forest,0.009075034628139366,importances,1,Feature Importance - Random Forest
Staff:Students 2018-2019,Feature Importance,Random Forest,0.008558149669951448,importances,1,Feature Importance - Random Forest
% Free Lunch 2020-2021,Feature Importance,Random Forest,0.015303471239741963,importances,1,Feature Importance - Random Forest
% Free Lunch 2018-2019,Feature Importance,Random Forest,0.013444742455553828,importances,1,Feature Importance - Random Forest
% Reduced-price Lunch 2020-2021,Feature Importance,Random Forest,0.010556850463368359,importances,1,Feature Importance - Random Forest
% Reduced-price Lunch 2018-2019,Feature Importance,Random Forest,0.010009823274091757,importances,1,Feature Importance - Random Forest
% Asian or Asian/Pacific Islander Students 2020-2021,Feature Importance,Random Forest,0.008837855478202475,importances,1,Feature Importance - Random Forest
% Asian or Asian/Pacific Islander Students 2018-2019,Feature Importance,Random Forest,0.010767377122389479,importances,1,Feature Importance - Random Forest
% Hispanic Students 2020-2021,Feature Importance,Random Forest,0.008713831442936502,importances,1,Feature Importance - Random Forest
% Hispanic Students 2018-2019,Feature Importance,Random Forest,0.00890537078131654,importances,1,Feature Importance - Random Forest
% Black or African American Students 2020-2021,Feature Importance,Random Forest,0.01033933959433634,importances,1,Feature Importance - Random Forest
% Black or African American Students 2018-2019,Feature Importance,Random Forest,0.008805212493867384,importances,1,Feature Importance - Random Forest
% White Students 2020-2021,Feature Importance,Random Forest,0.014745754159779426,importances,1,Feature Importance - Random Forest
% White Students 2018-2019,Feature Importance,Random Forest,0.013337123741254018,importances,1,Feature Importance - Random Forest
% Grades 1-8 2020-2021,Feature Importance,Random Forest,0.010414887728137742,importances,1,Feature Importance - Random Forest
% Grades 1-8 2018-2019,Feature Importance,Random Forest,0.00970027667568339,importances,1,Feature Importance - Random Forest
% Grades 9-12 2020-2021,Feature Importance,Random Forest,0.010344510943927361,importances,1,Feature Importance - Random Forest
% Grades 9-12 2018-2019,Feature Importance,Random Forest,0.012153276614085036,importances,1,Feature Importance - Random Forest
% Prek 2020-2021,Feature Importance,Random Forest,0.010222463902567348,importances,1,Feature Importance - Random Forest
% Prek 2018-2019,Feature Importance,Random Forest,0.008480608499149896,importances,1,Feature Importance - Random Forest
% K 2020-2021,Feature Importance,Random Forest,0.013841063893791035,importances,1,Feature Importance - Random Forest
% K 2018-2019,Feature Importance,Random Forest,0.012412504968579284,importances,1,Feature Importance - Random Forest
% ADA 2018-2019,Feature Importance,Random Forest,0.01375127990078136,importances,1,Feature Importance - Random Forest
% ADA 2020-2021,Feature Importance,Random Forest,0.012248701450091217,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 3 2018-2019,Feature Importance,Random Forest,0.011793445370377551,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 4 2018-2019,Feature Importance,Random Forest,0.01019747529848336,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 5 2018-2019,Feature Importance,Random Forest,0.011004180190992361,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 6 2018-2019,Feature Importance,Random Forest,0.010003614148534705,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 7 2018-2019,Feature Importance,Random Forest,0.017688421745434404,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 8 2018-2019,Feature Importance,Random Forest,0.011137197218713549,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 3 2020-2021,Feature Importance,Random Forest,0.01450592064643372,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 4 2020-2021,Feature Importance,Random Forest,0.012182119000051317,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 5 2020-2021,Feature Importance,Random Forest,0.01969361810283552,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 6 2020-2021,Feature Importance,Random Forest,0.015483700393632354,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 7 2020-2021,Feature Importance,Random Forest,0.014213074948970417,importances,1,Feature Importance - Random Forest
% Students Tested Reading - Grade 8 2020-2021,Feature Importance,Random Forest,0.015639618987858026,importances,1,Feature Importance - Random Forest
Average Score Reading All Grade 3 2018-2019,Feature Importance,Random Forest,0.010942419715317541,importances,1,Feature Importance - Random Forest
Average Score Reading All Grade 4 2018-2019,Feature Importance,Random Forest,0.009749175377215894,importances,1,Feature Importance - Random Forest
Average Score Reading All Grade 5 2018-2019,Feature Importance,Random Forest,0.010784373022290598,importances,1,Feature Importance - Random Forest
Average Score Reading All Grade 6 2018-2019,Feature Importance,Random Forest,0.010610859535128572,importances,1,Feature Importance - Random Forest
Average Score Reading All Grade 7 2018-2019,Feature Importance,Random Forest,0.011505081275128184,importances,1,Feature Importance - Random Forest
Average Score Reading All Grade 8 2018-2019,Feature Importance,Random Forest,0.011233152474021468,importances,1,Feature Importance - Random Forest
% County Infected 09/28/20,Feature Importance,Random Forest,0.008130552305320667,importances,0,Feature Importance - Random Forest
% County Deaths 09/28/20,Feature Importance,Random Forest,0.00717854508895573,importances,0,Feature Importance - Random Forest
% County Infected 10/30/20,Feature Importance,Random Forest,0.006668035720186456,importances,0,Feature Importance - Random Forest
% County Deaths 10/30/20,Feature Importance,Random Forest,0.00946067385287188,importances,1,Feature Importance - Random Forest
