feature,model,coef,class
% Grades 1-8 Diff,Logistic Regression - L1,-0.019153958872178474,Expected
% Grades 9-12 Diff,Logistic Regression - L1,0.0,Expected
% Prek Diff,Logistic Regression - L1,0.0,Expected
% Kinder Diff,Logistic Regression - L1,-0.11103448129572634,Expected
% ADA Diff,Logistic Regression - L1,0.0,Expected
% Tested Reading G3 Diff,Logistic Regression - L1,0.0,Expected
% Tested Reading G4 Diff,Logistic Regression - L1,0.0,Expected
% Tested Reading G5 Diff,Logistic Regression - L1,0.0,Expected
% Tested Reading G6 Diff,Logistic Regression - L1,0.009985106237184243,Expected
% Tested Reading G7 Diff,Logistic Regression - L1,0.0,Expected
% Tested Reading G8 Diff,Logistic Regression - L1,0.0,Expected
Locale_11-City: Large,Logistic Regression - L1,-0.0356292135403895,Expected
Locale_12-City: Mid-size,Logistic Regression - L1,0.0,Expected
Locale_13-City: Small,Logistic Regression - L1,0.04260508079330161,Expected
Locale_21-Suburb: Large,Logistic Regression - L1,0.08448667075744527,Expected
Locale_22-Suburb: Mid-size,Logistic Regression - L1,0.1034945602319448,Expected
Locale_23-Suburb: Small,Logistic Regression - L1,0.12073828504295016,Expected
Locale_31-Town: Fringe,Logistic Regression - L1,-0.042417874312632796,Expected
Locale_32-Town: Distant,Logistic Regression - L1,0.0,Expected
Locale_33-Town: Remote,Logistic Regression - L1,0.0,Expected
Locale_41-Rural: Fringe,Logistic Regression - L1,0.07751606358042308,Expected
Locale_42-Rural: Distant,Logistic Regression - L1,-0.177593851612265,Expected
Locale_43-Rural: Remote,Logistic Regression - L1,-0.07800647671184631,Expected
Labor Force Diff,Logistic Regression - L1,-0.14795031842891437,Gain
Employed Diff,Logistic Regression - L1,-0.06591755696930339,Gain
Unemployed Level Diff,Logistic Regression - L1,0.0,Gain
Unemployed Rate Diff,Logistic Regression - L1,0.029758466663592675,Gain
Median Age 10,Logistic Regression - L1,0.0,Gain
Median Age Male 10,Logistic Regression - L1,0.0,Gain
Median Age Female 10,Logistic Regression - L1,0.0,Gain
# of Households 10,Logistic Regression - L1,0.0,Gain
Avg Household Size 10,Logistic Regression - L1,0.0,Gain
# of Families 10,Logistic Regression - L1,0.0,Gain
Avg Family Size 10,Logistic Regression - L1,0.0,Gain
# of Housing Units 10,Logistic Regression - L1,0.0,Gain
County Population,Logistic Regression - L1,0.0,Gain
CARES ESSER I 20,Logistic Regression - L1,0.0,Gain
CRRSA ESSER II 21,Logistic Regression - L1,-0.08154093899753766,Gain
ARP ESSER III 21,Logistic Regression - L1,0.0,Gain
ESSER-SUPP 22,Logistic Regression - L1,0.0,Gain
ESSER-SUPP 23,Logistic Regression - L1,0.0,Gain
% County Infected 09/28/20,Logistic Regression - L1,0.0,Gain
% County Deaths 09/28/20,Logistic Regression - L1,0.03508673878721501,Gain
% County Infected 10/30/20,Logistic Regression - L1,0.05867378850272955,Gain
% County Deaths 10/30/20,Logistic Regression - L1,0.0,Gain
% County Infected 01/29/21,Logistic Regression - L1,0.0,Gain
% County Deaths 01/29/21,Logistic Regression - L1,0.0,Gain
% On Campus 09/28/20,Logistic Regression - L1,0.14870510328869607,Gain
% On Campus 10/30/20,Logistic Regression - L1,0.26564744281406505,Gain
% On Campus 01/29/21,Logistic Regression - L1,0.0,Gain
% White Pop 10,Logistic Regression - L1,-0.008241414481350132,Gain
% Black Pop 10,Logistic Regression - L1,0.010233170729126991,Gain
% Asian Pop 10,Logistic Regression - L1,-0.03100343987913343,Gain
% Hispanic Pop 10,Logistic Regression - L1,0.0,Gain
% Male Pop 10,Logistic Regression - L1,0.0,Gain
% Female Pop 10,Logistic Regression - L1,0.0,Gain
% Age 0-4 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 5-9 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 10-14 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 15-19 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 20-24 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 25-34 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 35-44 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 45-54 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 55-64 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 65-74 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 75-84 Pop 10,Logistic Regression - L1,0.0,Gain
% Age 85-Up Pop 10,Logistic Regression - L1,0.0,Gain
% HH 1 Male 10,Logistic Regression - L1,0.0,Gain
% HH 1 Female 10,Logistic Regression - L1,0.0,Gain
% HH Married-Child 10,Logistic Regression - L1,0.0,Gain
% HH Married-noChild 10,Logistic Regression - L1,0.0,Gain
% HH Male-Child 10,Logistic Regression - L1,0.0,Gain
% HH Female-Child 10,Logistic Regression - L1,0.0,Gain
% Housing Vacant 10,Logistic Regression - L1,0.0,Gain
% Housing Owner Occup 10,Logistic Regression - L1,0.0,Gain
% Housing Renter Occup 10,Logistic Regression - L1,-0.03738642223594607,Gain
Total Schools Diff,Logistic Regression - L1,0.0,Gain
Total Students Diff,Logistic Regression - L1,0.0,Gain
% Operational Schools Diff,Logistic Regression - L1,-0.02002543857716974,Gain
% Title 1 School-wide Diff,Logistic Regression - L1,0.0,Gain
% Title 1 Eligible Diff,Logistic Regression - L1,0.0,Gain
Teachers:Students Diff,Logistic Regression - L1,0.020937777027505565,Gain
Staff:Students Diff,Logistic Regression - L1,0.0,Gain
% Free Lunch Diff,Logistic Regression - L1,0.0,Gain
% Reduced-price Lunch Diff,Logistic Regression - L1,0.0,Gain
% Asian Diff,Logistic Regression - L1,0.04959316214174971,Gain
% Hispanic Diff,Logistic Regression - L1,0.0,Gain
% Black Diff,Logistic Regression - L1,-0.035489216232093876,Gain
% White Diff,Logistic Regression - L1,0.0,Gain
% Grades 1-8 Diff,Logistic Regression - L1,0.01711615512727281,Gain
% Grades 9-12 Diff,Logistic Regression - L1,0.0,Gain
% Prek Diff,Logistic Regression - L1,0.0,Gain
% Kinder Diff,Logistic Regression - L1,0.05243783655921897,Gain
% ADA Diff,Logistic Regression - L1,0.0,Gain
% Tested Reading G3 Diff,Logistic Regression - L1,0.0,Gain
% Tested Reading G4 Diff,Logistic Regression - L1,0.0,Gain
% Tested Reading G5 Diff,Logistic Regression - L1,0.0,Gain
% Tested Reading G6 Diff,Logistic Regression - L1,0.08074538525958985,Gain
% Tested Reading G7 Diff,Logistic Regression - L1,0.0,Gain
% Tested Reading G8 Diff,Logistic Regression - L1,0.0,Gain
Locale_11-City: Large,Logistic Regression - L1,-0.05687632234721432,Gain
Locale_12-City: Mid-size,Logistic Regression - L1,0.0,Gain
Locale_13-City: Small,Logistic Regression - L1,0.0,Gain
Locale_21-Suburb: Large,Logistic Regression - L1,-0.1492519347204483,Gain
Locale_22-Suburb: Mid-size,Logistic Regression - L1,0.0,Gain
Locale_23-Suburb: Small,Logistic Regression - L1,-0.04281753825035236,Gain
Locale_31-Town: Fringe,Logistic Regression - L1,0.03322941781993637,Gain
Locale_32-Town: Distant,Logistic Regression - L1,0.0,Gain
Locale_33-Town: Remote,Logistic Regression - L1,0.0,Gain
Locale_41-Rural: Fringe,Logistic Regression - L1,0.0,Gain
Locale_42-Rural: Distant,Logistic Regression - L1,0.12763556108097115,Gain
Locale_43-Rural: Remote,Logistic Regression - L1,0.0,Gain
Labor Force Diff,Logistic Regression - L2,-0.09011726475820186,Loss
Employed Diff,Logistic Regression - L2,0.1021342725157786,Loss
Unemployed Level Diff,Logistic Regression - L2,0.007539462757950341,Loss
Unemployed Rate Diff,Logistic Regression - L2,0.09147797375898971,Loss
Median Age 10,Logistic Regression - L2,0.04842572462113449,Loss
Median Age Male 10,Logistic Regression - L2,0.04578957258940137,Loss
Median Age Female 10,Logistic Regression - L2,0.05094844297589577,Loss
# of Households 10,Logistic Regression - L2,-0.014327280400662501,Loss
Avg Household Size 10,Logistic Regression - L2,0.023981855448105553,Loss
# of Families 10,Logistic Regression - L2,-0.026531609019647958,Loss
Avg Family Size 10,Logistic Regression - L2,0.024824300467323743,Loss
# of Housing Units 10,Logistic Regression - L2,-0.0174479444868365,Loss
County Population,Logistic Regression - L2,-0.022268761748048923,Loss
CARES ESSER I 20,Logistic Regression - L2,0.15718466233935416,Loss
CRRSA ESSER II 21,Logistic Regression - L2,0.10010977186597314,Loss
ARP ESSER III 21,Logistic Regression - L2,0.05956808235754794,Loss
ESSER-SUPP 22,Logistic Regression - L2,0.0060547703806409095,Loss
ESSER-SUPP 23,Logistic Regression - L2,0.0012487963158971647,Loss
% County Infected 09/28/20,Logistic Regression - L2,0.1807053012830489,Loss
% County Deaths 09/28/20,Logistic Regression - L2,0.06555972767612356,Loss
% County Infected 10/30/20,Logistic Regression - L2,-0.05257637800743088,Loss
% County Deaths 10/30/20,Logistic Regression - L2,0.019746527960076896,Loss
% County Infected 01/29/21,Logistic Regression - L2,-0.027063042809112835,Loss
% County Deaths 01/29/21,Logistic Regression - L2,-0.10336472399190415,Loss
% On Campus 09/28/20,Logistic Regression - L2,-0.10685988506379564,Loss
% On Campus 10/30/20,Logistic Regression - L2,-0.43636375481158646,Loss
% On Campus 01/29/21,Logistic Regression - L2,-0.21236761382345376,Loss
% White Pop 10,Logistic Regression - L2,0.25314405160070214,Loss
% Black Pop 10,Logistic Regression - L2,-0.08838412584266118,Loss
% Asian Pop 10,Logistic Regression - L2,0.08832586830076153,Loss
% Hispanic Pop 10,Logistic Regression - L2,-0.22781457117554704,Loss
% Male Pop 10,Logistic Regression - L2,0.10525808351734005,Loss
% Female Pop 10,Logistic Regression - L2,-0.1052580835173315,Loss
% Age 0-4 Pop 10,Logistic Regression - L2,0.07678719772374254,Loss
% Age 5-9 Pop 10,Logistic Regression - L2,-0.08133084925142975,Loss
% Age 10-14 Pop 10,Logistic Regression - L2,0.13328497623064267,Loss
% Age 15-19 Pop 10,Logistic Regression - L2,0.12713266013325758,Loss
% Age 20-24 Pop 10,Logistic Regression - L2,-0.1737097194610309,Loss
% Age 25-34 Pop 10,Logistic Regression - L2,-0.010074261712654627,Loss
% Age 35-44 Pop 10,Logistic Regression - L2,0.1702004659314411,Loss
% Age 45-54 Pop 10,Logistic Regression - L2,-0.11154598012695842,Loss
% Age 55-64 Pop 10,Logistic Regression - L2,-0.03348050116663278,Loss
% Age 65-74 Pop 10,Logistic Regression - L2,0.088301599065211,Loss
% Age 75-84 Pop 10,Logistic Regression - L2,-0.06600705931991434,Loss
% Age 85-Up Pop 10,Logistic Regression - L2,-0.10022872904389016,Loss
% HH 1 Male 10,Logistic Regression - L2,-0.12467510752054649,Loss
% HH 1 Female 10,Logistic Regression - L2,-0.000561028712098874,Loss
% HH Married-Child 10,Logistic Regression - L2,-0.028329749176265195,Loss
% HH Married-noChild 10,Logistic Regression - L2,-0.1482258706457428,Loss
% HH Male-Child 10,Logistic Regression - L2,-0.10056943744036917,Loss
% HH Female-Child 10,Logistic Regression - L2,-0.07581671384662696,Loss
% Housing Vacant 10,Logistic Regression - L2,0.14469309018159957,Loss
% Housing Owner Occup 10,Logistic Regression - L2,-0.1963209315380395,Loss
% Housing Renter Occup 10,Logistic Regression - L2,0.03310088742324992,Loss
Total Schools Diff,Logistic Regression - L2,-0.09755730272879647,Loss
Total Students Diff,Logistic Regression - L2,0.19042390501425327,Loss
% Operational Schools Diff,Logistic Regression - L2,0.15629105386721212,Loss
% Title 1 School-wide Diff,Logistic Regression - L2,-0.11031625098244142,Loss
% Title 1 Eligible Diff,Logistic Regression - L2,-0.030558286546537833,Loss
Teachers:Students Diff,Logistic Regression - L2,0.16090784192173968,Loss
Staff:Students Diff,Logistic Regression - L2,0.013504023860773828,Loss
% Free Lunch Diff,Logistic Regression - L2,0.08585471162648586,Loss
% Reduced-price Lunch Diff,Logistic Regression - L2,-0.1225929019707667,Loss
% Asian Diff,Logistic Regression - L2,-0.26120146422709034,Loss
% Hispanic Diff,Logistic Regression - L2,0.17032064522830298,Loss
% Black Diff,Logistic Regression - L2,0.03622015696454533,Loss
% White Diff,Logistic Regression - L2,0.1567333797235387,Loss
% Grades 1-8 Diff,Logistic Regression - L2,-0.02065405880596393,Loss
% Grades 9-12 Diff,Logistic Regression - L2,0.02580034383225351,Loss
% Prek Diff,Logistic Regression - L2,-0.13774511011849014,Loss
% Kinder Diff,Logistic Regression - L2,0.024415584418199136,Loss
% ADA Diff,Logistic Regression - L2,0.05054519043611431,Loss
% Tested Reading G3 Diff,Logistic Regression - L2,-0.08332938446363501,Loss
% Tested Reading G4 Diff,Logistic Regression - L2,0.08265458441568822,Loss
% Tested Reading G5 Diff,Logistic Regression - L2,0.05962852869184971,Loss
% Tested Reading G6 Diff,Logistic Regression - L2,-0.3120969132436432,Loss
% Tested Reading G7 Diff,Logistic Regression - L2,0.1427396743986288,Loss
% Tested Reading G8 Diff,Logistic Regression - L2,0.1026095751581082,Loss
Locale_11-City: Large,Logistic Regression - L2,0.18799709779876772,Loss
Locale_12-City: Mid-size,Logistic Regression - L2,0.10626965572986798,Loss
Locale_13-City: Small,Logistic Regression - L2,-0.18942165959457752,Loss
Locale_21-Suburb: Large,Logistic Regression - L2,-0.048076314138462924,Loss
Locale_22-Suburb: Mid-size,Logistic Regression - L2,-0.20576104551673227,Loss
Locale_23-Suburb: Small,Logistic Regression - L2,-0.13537366332240014,Loss
Locale_31-Town: Fringe,Logistic Regression - L2,0.03814748909274922,Loss
Locale_32-Town: Distant,Logistic Regression - L2,-0.06160053711391827,Loss
Locale_33-Town: Remote,Logistic Regression - L2,-0.16449145288255324,Loss
Locale_41-Rural: Fringe,Logistic Regression - L2,-0.11383023544817988,Loss
Locale_42-Rural: Distant,Logistic Regression - L2,0.15764048978300843,Loss
Locale_43-Rural: Remote,Logistic Regression - L2,0.07732144277762636,Loss
Labor Force Diff,Logistic Regression - L2,0.1264298327302331,Expected
Employed Diff,Logistic Regression - L2,0.01969334334776841,Expected
Unemployed Level Diff,Logistic Regression - L2,-0.056233351884861775,Expected
Unemployed Rate Diff,Logistic Regression - L2,-0.09890147722495213,Expected
Median Age 10,Logistic Regression - L2,-0.02466007251371485,Expected
Median Age Male 10,Logistic Regression - L2,-0.023034398787196524,Expected
Median Age Female 10,Logistic Regression - L2,-0.026954913466917352,Expected
# of Households 10,Logistic Regression - L2,-0.0017265661639014676,Expected
Avg Household Size 10,Logistic Regression - L2,-0.00793529871120173,Expected
# of Families 10,Logistic Regression - L2,0.011756753097939781,Expected
Avg Family Size 10,Logistic Regression - L2,-0.007731538542037207,Expected
# of Housing Units 10,Logistic Regression - L2,0.008446276220268212,Expected
County Population,Logistic Regression - L2,-0.007809944554409526,Expected
CARES ESSER I 20,Logistic Regression - L2,-0.10567757376301215,Expected
CRRSA ESSER II 21,Logistic Regression - L2,-0.030716659706133208,Expected
ARP ESSER III 21,Logistic Regression - L2,0.019348577213372575,Expected
ESSER-SUPP 22,Logistic Regression - L2,0.00753360698455919,Expected
ESSER-SUPP 23,Logistic Regression - L2,0.012689863383684828,Expected
% County Infected 09/28/20,Logistic Regression - L2,-0.028388427131958025,Expected
% County Deaths 09/28/20,Logistic Regression - L2,-0.18594340580461455,Expected
% County Infected 10/30/20,Logistic Regression - L2,-0.10705987028280048,Expected
% County Deaths 10/30/20,Logistic Regression - L2,0.10534864975927752,Expected
% County Infected 01/29/21,Logistic Regression - L2,-0.054078896525369416,Expected
% County Deaths 01/29/21,Logistic Regression - L2,0.12006421919420585,Expected
% On Campus 09/28/20,Logistic Regression - L2,-0.06465017213160192,Expected
% On Campus 10/30/20,Logistic Regression - L2,0.1599018358927143,Expected
% On Campus 01/29/21,Logistic Regression - L2,0.1893540833825599,Expected
% White Pop 10,Logistic Regression - L2,-0.06482968539231532,Expected
% Black Pop 10,Logistic Regression - L2,-0.10712171478666341,Expected
% Asian Pop 10,Logistic Regression - L2,0.06833218670296692,Expected
% Hispanic Pop 10,Logistic Regression - L2,-0.004494732156637174,Expected
% Male Pop 10,Logistic Regression - L2,0.019385697767860442,Expected
% Female Pop 10,Logistic Regression - L2,-0.019385697767861382,Expected
% Age 0-4 Pop 10,Logistic Regression - L2,0.013465699200438289,Expected
% Age 5-9 Pop 10,Logistic Regression - L2,-0.03734575188940051,Expected
% Age 10-14 Pop 10,Logistic Regression - L2,-0.010375294465613747,Expected
% Age 15-19 Pop 10,Logistic Regression - L2,-0.056759436814612284,Expected
% Age 20-24 Pop 10,Logistic Regression - L2,0.1248114486548115,Expected
% Age 25-34 Pop 10,Logistic Regression - L2,-0.14380084103780005,Expected
% Age 35-44 Pop 10,Logistic Regression - L2,-0.041939245919210943,Expected
% Age 45-54 Pop 10,Logistic Regression - L2,0.09822694683755787,Expected
% Age 55-64 Pop 10,Logistic Regression - L2,0.07094852514549099,Expected
% Age 65-74 Pop 10,Logistic Regression - L2,-0.10862100663463753,Expected
% Age 75-84 Pop 10,Logistic Regression - L2,0.13803411533293414,Expected
% Age 85-Up Pop 10,Logistic Regression - L2,0.042798180312063255,Expected
% HH 1 Male 10,Logistic Regression - L2,0.029772564792049545,Expected
% HH 1 Female 10,Logistic Regression - L2,-0.0244327346201416,Expected
% HH Married-Child 10,Logistic Regression - L2,-0.12260523604728675,Expected
% HH Married-noChild 10,Logistic Regression - L2,0.07702828492692096,Expected
% HH Male-Child 10,Logistic Regression - L2,0.11358239939456757,Expected
% HH Female-Child 10,Logistic Regression - L2,0.10885139895601541,Expected
% Housing Vacant 10,Logistic Regression - L2,-0.15555971271601335,Expected
% Housing Owner Occup 10,Logistic Regression - L2,0.04377725801653487,Expected
% Housing Renter Occup 10,Logistic Regression - L2,0.10140906622249053,Expected
Total Schools Diff,Logistic Regression - L2,0.16752403602896768,Expected
