feature,Feature Importance - Random Forest,Permutation Importance - Random Forest,Permutation Importance - Ridge,RFE - Random Forest,RFE - Ridge,Regularization - Lasso,SFS - KNN,SFS - Ridge,Variance Threshold
% County Infected 09/28/20,0.008130552305320667,-0.01632653061224487,0.0010204081632653184,1.0,101.0,0.0,1.0,0.0,0.0
% County Infected 10/30/20,0.006668035720186456,-0.004081632653061207,-0.02244897959183669,1.0,46.0,-0.06597576212132635,1.0,0.0,0.0
% Female Pop 10,0.0067013445233665295,-0.008163265306122436,0.0010204081632653184,1.0,23.0,0.0009708751007097725,0.0,0.0,0.0
% Free Lunch 2018-2019,0.013444742455553828,-0.006122448979591822,0.0051020408163265476,1.0,21.0,0.0,0.0,1.0,0.0
% Free Lunch 2020-2021,0.015303471239741963,-0.0010204081632652962,0.004081632653061273,1.0,10.0,0.0,1.0,1.0,0.0
% Grades 1-8 2018-2019,0.00970027667568339,0.0020408163265305925,-0.003061224489795911,1.0,107.0,0.0,0.0,1.0,0.0
% Grades 1-8 2020-2021,0.010414887728137742,0.004081632653061207,0.010204081632653095,1.0,106.0,0.0,1.0,1.0,0.0
% Grades 9-12 2018-2019,0.012153276614085036,-0.006122448979591799,-0.012244897959183643,1.0,58.0,0.0,0.0,1.0,0.0
% Grades 9-12 2020-2021,0.010344510943927361,0.003061224489795911,0.014285714285714323,1.0,56.0,0.0,0.0,1.0,0.0
% HH 1 Female 10,0.008319190538518376,-0.008163265306122413,0.016326530612244938,1.0,84.0,0.0,0.0,1.0,0.0
% HH 1 Male 10,0.007548327162983933,-0.005102040816326481,2.2204460492503132e-17,1.0,55.0,0.0,1.0,0.0,0.0
% HH Female-Child 10,0.006038736326887898,-0.010204081632653073,2.2204460492503132e-17,5.0,103.0,0.0,1.0,0.0,0.0
% HH Male-Child 10,0.006875446391448891,0.0010204081632652962,-0.00204081632653057,6.0,88.0,0.0,0.0,1.0,0.0
% HH Married-Child 10,0.005920040547380205,-0.009183673469387732,0.008163265306122481,1.0,85.0,-0.1765313417694472,1.0,0.0,0.0
% HH Married-noChild 10,0.007215679455337486,0.0020408163265306146,0.004081632653061273,1.0,68.0,0.0,1.0,0.0,0.0
% Hispanic Pop 10,0.006196867040527938,0.0020408163265306146,-0.009183673469387732,10.0,29.0,0.0,0.0,1.0,0.0
% Hispanic Students 2018-2019,0.00890537078131654,0.004081632653061207,-0.009183673469387732,1.0,5.0,0.0,0.0,1.0,0.0
% Hispanic Students 2020-2021,0.008713831442936502,0.004081632653061207,0.002040816326530659,1.0,6.0,0.0,0.0,1.0,0.0
% Housing Owner Occup 10,0.0059601783791377,0.010204081632653027,0.011224489795918413,1.0,50.0,0.0,1.0,0.0,0.0
% Housing Renter Occup 10,0.006388398451252758,-0.004081632653061229,0.008163265306122502,1.0,15.0,0.03363915323997679,0.0,0.0,0.0
% Housing Vacant 10,0.0056292259343744926,-0.0030612244897958883,-0.015306122448979576,9.0,49.0,0.0,0.0,0.0,0.0
% K 2018-2019,0.012412504968579284,0.003061224489795911,0.00918367346938782,1.0,45.0,0.05519947165429333,0.0,0.0,0.0
% K 2020-2021,0.013841063893791035,0.0,0.01224489795918371,1.0,98.0,0.0,0.0,0.0,0.0
% Male Pop 10,0.00733128628470147,0.0,0.0010204081632653184,1.0,61.0,-0.02087054318784762,0.0,0.0,0.0
% On Campus 01/29/21,0.03022093507840765,0.006122448979591822,0.028571428571428602,1.0,17.0,0.22863884037731844,1.0,1.0,0.0
% On Campus 09/28/20,0.025571295607825263,-0.0010204081632652962,0.006122448979591866,1.0,57.0,0.0,1.0,1.0,0.0
% On Campus 10/30/20,0.03719133640734171,0.012244897959183687,0.02959183673469392,1.0,1.0,0.10067689648059178,1.0,1.0,0.0
% Operational Schools Diff,0.003793340243787576,0.0,-0.006122448979591799,16.0,72.0,0.0,1.0,1.0,0.0
% Prek 2018-2019,0.008480608499149896,0.003061224489795911,-0.003061224489795911,1.0,71.0,-0.05200888574831118,0.0,1.0,0.0
% Prek 2020-2021,0.010222463902567348,0.0020408163265305925,0.003061224489795955,1.0,114.0,0.0,0.0,0.0,0.0
% Reduced-price Lunch 2018-2019,0.010009823274091757,-0.0010204081632652962,-0.004081632653061185,1.0,104.0,0.0,0.0,1.0,0.0
% Reduced-price Lunch 2020-2021,0.010556850463368359,-0.004081632653061207,0.0020408163265306367,1.0,113.0,0.0,0.0,0.0,0.0
% School-wide Title I 2018-2019,0.005313129445222019,-0.0010204081632652962,-0.017346938775510145,13.0,35.0,0.0,0.0,1.0,0.0
% School-wide Title I 2020-2021,0.0031950890242259194,-0.004081632653061185,-0.011224489795918368,17.0,34.0,-0.058088380358319376,1.0,1.0,0.0
% Students Tested Reading - Grade 3 2018-2019,0.011793445370377551,0.0020408163265305925,0.013265306122449005,1.0,59.0,-0.012447576872657724,0.0,0.0,0.0
% Students Tested Reading - Grade 3 2020-2021,0.01450592064643372,-0.005102040816326525,0.0051020408163265476,1.0,48.0,0.0,1.0,1.0,0.0
% Students Tested Reading - Grade 4 2018-2019,0.01019747529848336,-0.009183673469387754,0.009183673469387777,1.0,112.0,0.0,0.0,0.0,0.0
% Students Tested Reading - Grade 4 2020-2021,0.012182119000051317,-0.003061224489795933,0.0091836734693878,1.0,76.0,0.0,1.0,1.0,0.0
% Students Tested Reading - Grade 5 2018-2019,0.011004180190992361,0.0020408163265306146,0.006122448979591888,1.0,69.0,0.0,0.0,1.0,0.0
% Students Tested Reading - Grade 5 2020-2021,0.01969361810283552,-0.001020408163265274,-0.0030612244897958883,1.0,51.0,0.0,1.0,1.0,0.0
% Students Tested Reading - Grade 6 2018-2019,0.010003614148534705,0.004081632653061207,4.4408920985006264e-17,1.0,67.0,-0.059411561606624114,0.0,1.0,0.0
% Students Tested Reading - Grade 6 2020-2021,0.015483700393632354,0.005102040816326525,-0.008163265306122436,1.0,95.0,0.0,1.0,0.0,0.0
% Students Tested Reading - Grade 7 2018-2019,0.017688421745434404,-0.004081632653061207,0.006122448979591843,1.0,110.0,0.0,0.0,1.0,0.0
% Students Tested Reading - Grade 7 2020-2021,0.014213074948970417,-0.009183673469387732,-0.006122448979591822,1.0,52.0,0.14925210733883626,0.0,0.0,0.0
% Students Tested Reading - Grade 8 2018-2019,0.011137197218713549,-0.0010204081632652962,-0.00204081632653057,1.0,90.0,-0.01394855199905387,1.0,0.0,0.0
% Students Tested Reading - Grade 8 2020-2021,0.015639618987858026,0.0,0.0091836734693878,1.0,38.0,0.004877509664077708,1.0,0.0,0.0
% Title I Eligible School 2018-2019,0.0038771841341611168,-0.0020408163265306146,0.005102040816326592,14.0,96.0,0.0,1.0,1.0,0.0
% Title I Eligible School 2020-2021,0.002899799212841408,-2.2204460492503132e-17,-0.006122448979591799,19.0,74.0,0.0,1.0,1.0,0.0
% White Pop 10,0.006218357094986543,-0.0020408163265305925,-0.003061224489795911,1.0,42.0,0.0,1.0,1.0,0.0
% White Students 2018-2019,0.013337123741254018,-0.005102040816326503,-0.011224489795918346,1.0,12.0,0.0,0.0,1.0,0.0
% White Students 2020-2021,0.014745754159779426,0.003061224489795911,0.0051020408163265476,1.0,78.0,0.0,0.0,1.0,0.0
Average Score Reading All Grade 3 2018-2019,0.010942419715317541,-2.2204460492503132e-17,-0.025510204081632605,1.0,70.0,0.0,0.0,0.0,0.0
Average Score Reading All Grade 4 2018-2019,0.009749175377215894,-0.015306122448979576,0.010204081632653118,1.0,43.0,0.0,0.0,1.0,0.0
Average Score Reading All Grade 5 2018-2019,0.010784373022290598,-0.012244897959183643,-0.018367346938775488,1.0,41.0,0.10992594563461473,1.0,0.0,0.0
Average Score Reading All Grade 6 2018-2019,0.010610859535128572,0.005102040816326503,-0.003061224489795911,1.0,89.0,0.0,0.0,1.0,0.0
Average Score Reading All Grade 7 2018-2019,0.011505081275128184,0.008163265306122436,0.007142857142857162,1.0,32.0,0.0,1.0,1.0,0.0
Average Score Reading All Grade 8 2018-2019,0.011233152474021468,-0.006122448979591799,0.010204081632653095,1.0,11.0,0.06604753919821703,0.0,1.0,0.0
Avg Family Size 10,0.006112710603141895,-0.0020408163265305925,-0.0010204081632652962,1.0,27.0,0.0,1.0,0.0,1.0
Avg Household Size 10,0.008206914576431867,0.008163265306122436,-0.0010204081632652962,1.0,99.0,0.0,1.0,0.0,1.0
CARES ESSER I 20,0.014059072222339673,0.0010204081632652962,0.003061224489795955,1.0,4.0,0.0,1.0,1.0,1.0
County Population,0.0073951489598817555,0.005102040816326481,0.0020408163265306367,8.0,87.0,0.0,1.0,0.0,1.0
Employed Diff,0.00875275888567022,0.0010204081632652962,0.003061224489795955,1.0,26.0,0.0,0.0,0.0,0.0
Labor Force Diff,0.009769706150241687,0.0020408163265306146,0.0010204081632653405,1.0,25.0,-0.12204330620243499,0.0,1.0,0.0
Locale_11-City: Large,0.00010139503704867487,0.0,0.0051020408163265476,26.0,22.0,-0.01681475843801959,1.0,0.0,0.0
Locale_12-City: Mid-size,0.00031880320184412105,0.0,0.005102040816326569,29.0,24.0,0.0,1.0,1.0,0.0
Locale_13-City: Small,7.422519813054847e-05,0.0,0.0,27.0,83.0,0.0,1.0,1.0,0.0
Locale_21-Suburb: Large,0.000648335147793272,0.0,-0.0020408163265305925,28.0,16.0,0.0,1.0,1.0,0.0
Locale_22-Suburb: Mid-size,0.0001633020017519765,0.0,0.0091836734693878,30.0,53.0,0.06736778811889992,1.0,1.0,0.0
Locale_23-Suburb: Small,0.0,0.0,0.0,31.0,18.0,0.09835813447227591,1.0,1.0,0.0
Locale_31-Town: Fringe,0.0018139475641443742,0.0,-0.001020408163265274,22.0,73.0,-0.07405307236105689,1.0,1.0,0.0
Locale_32-Town: Distant,0.0009370454453550843,0.0,0.0,25.0,109.0,0.0,1.0,1.0,0.0
Locale_33-Town: Remote,0.0012308265842609644,0.0,0.009183673469387777,23.0,82.0,0.002985153109082211,0.0,0.0,0.0
Locale_41-Rural: Fringe,0.0008096092915120684,0.0,-0.0030612244897958883,20.0,108.0,0.06305817342358537,1.0,1.0,0.0
Locale_42-Rural: Distant,0.000976928463643862,-0.0010204081632652962,-0.0030612244897958883,21.0,60.0,-0.0905750405115068,1.0,0.0,1.0
Locale_43-Rural: Remote,0.0007185813615106939,0.0,0.0010204081632653184,24.0,92.0,0.0,0.0,1.0,0.0
Median Age 10,0.007413757794961078,-0.006122448979591822,0.0,2.0,91.0,0.0,1.0,0.0,1.0
Median Age Female 10,0.007494778695637626,-0.0020408163265306146,0.0,1.0,77.0,0.0,1.0,0.0,1.0
Median Age Male 10,0.007627449774737674,-0.011224489795918346,0.0,1.0,100.0,0.0,1.0,0.0,1.0
Staff:Students 2018-2019,0.008558149669951448,-0.0010204081632652962,0.011224489795918413,1.0,20.0,0.0036146981385199923,0.0,0.0,0.0
Staff:Students 2020-2021,0.009075034628139366,-0.003061224489795933,0.0,1.0,64.0,0.0,0.0,0.0,0.0
Teachers:Students 2018-2019,0.008714854970368698,-0.006122448979591822,0.006122448979591866,1.0,30.0,0.0,1.0,0.0,0.0
Teachers:Students 2020-2021,0.009360286926188798,-0.00714285714285714,0.004081632653061273,1.0,19.0,-0.19469742842480586,0.0,0.0,0.0
Total Schools Diff,0.003098667070575466,-0.009183673469387754,-0.004081632653061207,18.0,75.0,0.0,1.0,1.0,0.0
Total Students 2018-2019,0.011148352871363993,0.009183673469387732,-0.0020408163265305925,1.0,2.0,0.0,1.0,0.0,1.0
Total Students 2020-2021,0.015666048591263936,0.003061224489795911,-0.0020408163265305925,1.0,31.0,0.001213465628877836,1.0,0.0,1.0
Unemployed Level Diff,0.007448022387838213,-0.004081632653061207,0.028571428571428626,1.0,28.0,0.05961024586694357,1.0,1.0,0.0
Unemployed Rate Diff,0.007301699268367765,0.00204081632653057,-0.0020408163265305925,1.0,62.0,0.0,0.0,1.0,0.0
