feature,method,model,score,score_type,selected,Method
Average Score Math Free Lunch Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Free Lunch Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Hispanic Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math Poverty Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math T1 Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math T1 Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math T1 Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math T1 Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math T1 Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math T1 Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math T1 Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Math T1 Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading White Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading All Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Free Lunch Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Hispanic Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading Poverty Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading T1 Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading T1 Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading T1 Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading T1 Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading T1 Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading T1 Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading T1 Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Average Score Reading T1 Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Median Age 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Median Age Male 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Median Age Female 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
# of Households 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Avg Household Size 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
# of Families 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Avg Family Size 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
# of Housing Units 10,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
County Population,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% County Infected 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 07/28/2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 07/28/2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 01/29/2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 01/29/2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 07/29/2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 07/29/2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Infected 10/30/2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% County Deaths 10/30/2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 09/28/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 10/30/20,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% On Campus 01/29/21,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% White Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Asian Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Hispanic Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Male Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Female Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 0-4 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 5-9 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 10-14 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 15-19 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 20-24 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 25-34 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 35-44 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 45-54 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 55-64 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 65-74 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 75-84 Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Age 85-Up Pop 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH 1 Male 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH 1 Female 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Married-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Married-noChild 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Male-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% HH Female-Child 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Vacant 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Owner Occup 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Housing Renter Occup 10,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
11-City: Large,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
12-City: Mid-size,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
13-City: Small,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
21-Suburb: Large,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
22-Suburb: Mid-size,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
23-Suburb: Small,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
31-Town: Fringe,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
32-Town: Distant,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
33-Town: Remote,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
41-Rural: Fringe,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
42-Rural: Distant,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
43-Rural: Remote,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% ADA 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% ADA 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% ADA 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Asian or Asian/Pacific Islander Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Asian or Asian/Pacific Islander Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Asian or Asian/Pacific Islander Students 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black or African American Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black or African American Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Black or African American Students 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Free or Reduced Lunch 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Free or Reduced Lunch 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Free or Reduced Lunch 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 1-8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 1-8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 1-8 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 9-12 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 9-12 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Grades 9-12 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Hispanic Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Hispanic Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Hispanic Students 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% K 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% K 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% K 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Prek 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Prek 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Prek 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% School-wide Title I 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% School-wide Title I 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% School-wide Title I 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 3 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 3 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 3 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 4 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 4 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 4 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 5 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 5 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 5 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 6 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 6 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 6 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 7 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 7 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 7 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 8 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 8 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Students Tested Reading - Grade 8 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Title I Eligible School 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Title I Eligible School 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% Title I Eligible School 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% White Students 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% White Students 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
% White Students 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Staff 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Staff 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Staff 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Students 2018-2019,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Total Students 2020-2021,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Total Students 2021-2022,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Total Teachers 2018-2019,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Teachers 2020-2021,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Total Teachers 2021-2022,Variance Threshold,N/A,0.0,N/A,0,Variance Threshold
Per Capita Income,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Median Household Income,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
Average Annual Pay,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% of Population in Poverty,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
% of Population Under 18 in Poverty,Variance Threshold,N/A,1.0,N/A,1,Variance Threshold
CARES ESSER I 20 NORM,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
CRRSA ESSER II 21 NORM,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
ARP ESSER III 21 NORM,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 3 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 4 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 5 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 6 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 7 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 8 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 3 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 4 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 5 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 6 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 7 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math White Grade 8 2020-2021,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math All Grade 3 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math All Grade 4 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math All Grade 5 2018-2019,Regularization,Lasso,0.05273734407057376,N/A,1,Regularization - Lasso
Average Score Math All Grade 6 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math All Grade 7 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
Average Score Math All Grade 8 2018-2019,Regularization,Lasso,0.0,N/A,0,Regularization - Lasso
